control_id,dominio,nombre,descripcion_breve,mitigates_threats,lifecycle_phases,critico_para_riesgo,assur_paso6,categoria_validacion,herramienta_validacion
CTRL-AUTH-01,Authentication & Authorization,OAuth 2.0/OIDC with Least Privilege Scopes,OAuth 2.0 con PKCE. Tokens de corta duración. Mínimos permisos por agente.,T3|T9,design|build|runtime,ASI03,ASSUR-01 (red teaming de autenticación y escalación de privilegios),herramienta_tecnica,OWASP ZAP (OAuth scan + Access Control Testing)
CTRL-AUTH-02,Authentication & Authorization,RBAC with Granular Roles,Roles granulares por función del agente. Matriz de permisos. Default read-only.,T3|T9,design|build|runtime,ASI03,ASSUR-01 (pruebas de escalación de privilegios por rol),herramienta_tecnica,OWASP ZAP (Access Control Testing)
CTRL-AUTH-03,Authentication & Authorization,Just-in-Time (JIT) Credential Issuance,Credenciales temporales con alcance limitado. Generadas solo cuando se necesitan. Expiración rápida.,T3|T9,design|build|runtime,ASI03,ASSUR-01 (pruebas de reutilización de credenciales expiradas),revision_configuracion,AWS IAM Access Analyzer (validación de políticas temporales)
CTRL-AUTH-04,Authentication & Authorization,Managed Identity Services (no hardcoded credentials),Cloud provider identity services. Sin credenciales embebidas en código (AWS IAM roles / Azure Managed Identities).,T3|T9|T17,design|build|runtime,-,ASSUR-01 | ASSUR-05 (identidad + supply chain),revision_configuracion,Checkov (IaC scan para credenciales hardcoded)
CTRL-AUTH-05,Authentication & Authorization,Separation of Control Planes in Multi-Agent Systems,Separación de planos de control entre agentes. Permisos distintos por agente basados en least privilege.,T3|T14,design|build|runtime,-,ASSUR-04 (monitoreo de acceso entre agentes),revision_configuracion,Agentic Radar (análisis de separación en arquitectura multi-agente)
CTRL-AUTH-06,Authentication & Authorization,Decentralized Identifiers (DIDs) and Verifiable Credentials (VCs),DIDs W3C para identidades soberanas de agentes. VCs para probar atributos sin autoridad central.,T9|T14,design|build|runtime,-,ASSUR-04 (verificación de identidad en runtime),proceso_humano,Revisión manual (W3C DID conformance checklist)
CTRL-DATA-01,Data Protection,Encryption at Rest and in Transit,TLS 1.2+ en tránsito. AES-256-GCM en reposo.,T1|T3,design|build|runtime,-,ASSUR-01 (verificación de canales ante ataques de intercepción),herramienta_tecnica,testssl.sh (TLS/mTLS cipher suite validation)
CTRL-DATA-02,Data Protection,Data Loss Prevention (DLP),DLP para monitorear y prevenir fuga de PII o credenciales en I/O del agente.,T3|T6,design|build|runtime,-,ASSUR-01 | ASSUR-02 (pruebas de exfiltración de datos sensibles),herramienta_tecnica,OWASP ZAP + reglas custom de detección de PII en responses
CTRL-DATA-03,Data Protection,Data Classification and Sensitivity Labels,Etiquetas de clasificación (público/interno/confidencial/restringido) aplicadas antes del acceso del agente.,T3,design|build|runtime,-,-,proceso_humano,Revisión manual de política de clasificación (checklist binario)
CTRL-DATA-04,Data Protection,Memory Segmentation and Session Isolation,Aislar sesiones. Limpiar estado entre tareas. Namespaces por tenant en vector stores.,T1|T3,design|build|runtime,ASI06,ASSUR-01 | ASSUR-04 (memory poisoning + monitoreo de acceso entre sesiones),herramienta_tecnica,AgentPoison / AgentDojo (cross-session memory leakage test)
CTRL-DATA-05,Data Protection,Memory TTL and Expiration,Expiración automática de memoria antigua o no verificada. Decaimiento de entradas de baja confianza.,T1|T5,design|build|runtime,ASI06,ASSUR-01 | ASSUR-04 (persistencia de memoria envenenada),herramienta_tecnica,AgentPoison (memory persistence testing)
CTRL-DATA-06,Data Protection,PII Detection and Redaction before Memory Storage,Detección y redacción de PII antes de almacenamiento en memoria. Regex + NER + Microsoft Presidio SDK.,T1|T3,design|build|runtime,-,ASSUR-01 (inyección de datos con PII para verificar detección y redacción),herramienta_tecnica,promptfoo (PII leakage en outputs del agente)
CTRL-PROMPT-01,Prompt & Input/Output Security,Input Validation and Sanitization,Filtrar inputs con reglas y NLP. Escapar tokens especiales antes de inyectar en prompt.,T1|T2|T6|T11,design|runtime,ASI01|ASI06,ASSUR-01 | ASSUR-02 (prompt injection + behavioral testing),herramienta_tecnica,promptfoo (prompt injection test suite / attack library)
CTRL-PROMPT-02,Prompt & Input/Output Security,System Prompt Hardening,Políticas de seguridad en instrucciones fundacionales. Delimitadores claros. DOs y DON'Ts explícitos.,T6|T7,design|runtime,ASI01,ASSUR-01 (red teaming de manipulación de instrucciones base),herramienta_tecnica,AgentFence (system instruction leakage + role confusion)
CTRL-PROMPT-03,Prompt & Input/Output Security,Output Filtering and Content Moderation,Screening de respuestas del agente. Pattern matching + clasificadores ML. AI guardrails en I/O.,T5|T7|T15,design|runtime,-,ASSUR-02 | ASSUR-03 (behavioral testing + explainability audits),herramienta_tecnica,promptfoo (output moderation / harmful content / jailbreak tests)
CTRL-PROMPT-04,Prompt & Input/Output Security,Schema Enforcement on Tool Arguments and Outputs,Schemas estrictos para argumentos de herramientas. JSON estructurado. Fail closed en ambigüedad.,T2|T11,design|runtime,-,ASSUR-01 (inyección en argumentos de herramientas / schema bypass),herramienta_tecnica,AgentDojo (tool argument injection y schema bypass testing)
CTRL-PROMPT-05,Prompt & Input/Output Security,Allow/Deny Lists for Tool Arguments and Content,Allow lists para valores conocidos-buenos. Deny lists para patrones maliciosos. Version pins para tool names.,T2|T6,design|runtime,-,ASSUR-01 (bypass de listas de control en argumentos),herramienta_tecnica,AgentFence (allow/deny list bypass testing)
